i,dEdt,g,R
102,0.004572905329780677,0.06229232165140388,-0.0577194163216232
103,0.004599909161735423,0.062491264756931876,-0.05789135559519645
104,0.0040274292110554916,0.06166729832287349,-0.057639869111817996
105,0.0029836544081909416,0.05998048059235288,-0.056996826184161936
106,0.001629741041034534,0.057728437929022144,-0.05609869688798761
107,9.321615891737245e-05,0.055249807165714024,-0.05515659100679665
108,-0.001536282008406574,0.05282406056115457,-0.05436034256956115
109,-0.0031559452239925956,0.05062879305051984,-0.05378473827451243
110,-0.0045965727928859446,0.04877115502799853,-0.053367727820884475
111,-0.005617265365810364,0.04735287653161416,-0.05297014189742452
112,-0.0059597814513986935,0.046505395451465745,-0.05246517690286444
113,-0.005441034718599871,0.046359987272129,-0.05180102199072887
114,-0.004046866771745761,0.04697167963787874,-0.0510185464096245
115,-0.001979921636938789,0.04825483692277589,-0.05023475855971468
116,0.000381074409305876,0.04998633074367746,-0.049605256334371586
117,0.002608237325813237,0.051887031389923254,-0.04927879406411002
118,0.004368454098480329,0.05373009162862884,-0.04936163753014851
119,0.0054952589834862675,0.05539506940252906,-0.04989981041904279
120,0.0059625001076829,0.05682794258419173,-0.05086544247650883
121,0.0058178933536560395,0.05795227675164088,-0.05213438339798484
122,0.005147712193695815,0.05862321469571359,-0.053475502502017776
123,0.004084818397787772,0.05867196028554953,-0.05458714188776176
124,0.0028181914511341416,0.05800000018241493,-0.05518180873128079
125,0.0015590685843954455,0.056640437489147266,-0.05508136890475182
126,0.0004616816437715693,0.05474085904102332,-0.05427917739725175
127,-0.0004466832469991605,0.05249135917827337,-0.05293804242527253
128,-0.0012601949273665924,0.05006112519652584,-0.051321320123892435
129,-0.0021072860196733115,0.04759292867732042,-0.04970021469699373
130,-0.003043289084589555,0.04525288251410504,-0.04829617159869459
131,-0.003989807957507301,0.04328297138633332,-0.047272779343840624
132,-0.004748831831782055,0.04199581768924725,-0.0467446495210293
133,-0.005086319621633452,0.04169282099486365,-0.0467791406164971
134,-0.004849454209606599,0.04254543170310656,-0.04739488591271316
135,-0.004045686016753813,0.04450998113342332,-0.04855566715017713
136,-0.0028202348808533603,0.047328329697908934,-0.050148564578762295
137,-0.0013548171935005779,0.050613882295235224,-0.0519686994887358
138,0.00020952779162917295,0.05396975826745504,-0.053760230475825864
139,0.0017581537134685188,0.05706804256479753,-0.05530988885132901
140,0.003142330049878246,0.05965470293356523,-0.05651237288368698
141,0.004165131886708133,0.06151268425061182,-0.05734755236390369
142,0.004644069779512906,0.0624523963030381,-0.057808326523525196
143,0.004497155959339652,0.06236149812883251,-0.057864342169492856
144,0.003778007721506889,0.06127485088739289,-0.057496843165886
145,0.002632634737758495,0.05939750799439047,-0.05676487325663197
146,0.0012174026624003562,0.05704961521234503,-0.05583221254994467
147,-0.00035327371727562895,0.05456187609017876,-0.05491514980745439
148,-0.0019924713000146546,0.05218639296097377,-0.054178864260988426
