bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
-29;4;-14;127;-12;5;-43;4;167;3;-12;-1;13;84;-19;-3;3;7;28;84;-1;35;-8;11;0;1;19;4;3;0;-2;-1;-9;3;0;1;3;0;0;0;25;-1;-4;1;2;0;2;-1;-1;0;-1;2;0;2;2;0;2;-1;1;2;0;3;0;0;-1;11;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-29;5;-12;127;-15;6;-42;3;167;3;-14;0;13;84;-18;-3;3;8;29;84;-1;36;-9;11;0;1;20;4;3;0;-2;0;-8;2;0;1;3;0;0;0;25;-1;-4;1;2;0;2;-1;-1;0;-1;2;0;2;2;0;2;-1;1;2;0;3;0;0;-1;11;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-2;41;-10;127;-2;-45;-8;-14;162;0;25;-3;20;89;-10;-2;1;28;37;89;-8;35;0;9;0;2;19;2;1;1;0;-7;-1;-2;1;-3;1;-4;-1;0;22;0;-1;3;1;-2;0;-2;0;0;0;2;1;2;1;-1;0;-1;-1;1;2;4;0;0;0;11;4;4;4;1;1;0,1,1,0,no_op,0.0,False,False
-2;42;-10;128;-2;-45;-8;-14;162;0;26;-3;19;89;-10;-2;1;28;37;89;-8;35;0;9;0;2;19;2;1;1;0;-7;-1;-2;1;-3;1;-4;0;1;22;0;-1;3;1;-2;0;-1;0;0;0;2;1;2;1;-1;0;-1;-1;1;2;4;0;0;0;11;4;4;4;1;1;0,1,1,0,no_op,0.0,False,False
-2;42;-10;129;-1;-45;-7;-14;162;0;26;-2;19;89;-10;-2;1;28;37;90;-8;35;0;9;0;2;19;2;1;1;0;-7;-1;-2;1;-3;1;-4;0;1;22;0;-1;3;1;-2;0;-1;0;0;0;2;1;2;1;-1;0;-1;-1;1;2;4;0;0;0;11;4;4;4;1;1;0,1,1,0,no_op,0.0,False,False
-2;43;-9;130;-1;-45;-6;-14;163;0;26;-2;19;89;-10;-2;1;27;37;90;-7;35;0;8;0;2;19;2;0;1;0;-7;0;-2;1;-3;1;-4;0;1;22;0;-1;3;1;-2;0;-1;0;0;0;2;1;2;1;-1;0;-1;-1;1;2;4;0;0;0;11;4;4;4;1;1;0,1,1,0,no_op,0.0,False,False
-2;43;-9;131;-1;-45;-6;-14;163;0;27;-2;20;89;-10;-2;1;27;37;89;-7;36;0;8;0;2;19;2;0;1;0;-7;0;-2;1;-3;1;-5;0;1;22;0;-1;3;1;-2;0;-1;0;0;1;2;1;2;1;-1;0;-1;-1;1;2;4;0;0;0;11;4;4;4;1;1;0,1,1,0,no_op,0.0,False,False
-2;43;-9;132;0;-45;-5;-14;163;0;27;-1;20;89;-9;-2;1;27;37;89;-7;36;0;8;0;2;20;3;0;1;0;-7;0;-2;1;-3;1;-5;0;1;22;0;-1;3;1;-2;0;-1;0;0;1;2;1;2;1;-1;0;-1;0;1;2;4;0;0;0;11;4;4;4;1;1;0,1,1,0,no_op,0.0,False,False
-30;-27;-17;127;1;29;-19;13;168;5;5;-6;18;74;-16;1;-1;-8;29;76;-3;35;-5;10;0;-1;16;10;0;1;0;1;-4;5;1;2;2;2;-1;-3;22;-1;-4;-1;1;2;2;0;-1;-1;0;2;0;2;1;-1;0;-1;0;2;1;3;0;-1;0;11;2;2;3;-1;1;1,1,1,0,no_op,0.0,False,False
-30;-28;-19;134;-11;20;-38;3;167;0;-6;0;16;75;-21;-1;2;-11;28;75;-3;36;-6;8;0;0;16;11;2;1;-1;0;-6;4;0;0;3;2;0;0;23;-2;-4;-2;2;1;2;1;-1;-1;0;1;0;2;2;-1;0;-1;0;2;1;2;0;0;1;12;3;3;2;-1;1;0,1,0,1,damp_low_band,0.0,False,False
-30;-29;-14;148;-14;23;-38;6;162;0;-3;-3;15;76;-21;5;3;-12;31;76;-2;38;-5;5;1;-1;17;12;2;0;0;1;-4;2;0;1;3;1;1;0;23;0;-3;-2;2;0;1;2;-1;-1;0;2;0;2;2;-1;0;-1;0;2;1;3;0;-1;0;12;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-30;34;-9;145;-2;-13;-1;-17;176;-4;5;-1;15;96;-16;1;5;21;30;92;-1;40;3;4;0;3;17;3;2;0;1;1;0;0;2;-1;1;-3;0;1;22;1;-3;1;0;-2;1;0;0;0;0;2;1;2;2;0;0;-1;1;1;1;3;0;0;0;11;2;4;3;1;0;-1,1,1,0,no_op,0.0,False,False
