bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
13;88;112;246;39;52;63;46;211;11;38;23;49;123;37;32;15;13;20;122;26;39;30;14;7;3;32;11;3;3;11;5;11;13;3;6;3;6;4;5;28;4;9;3;5;4;2;0;1;0;2;3;2;3;2;4;2;3;1;2;2;4;2;2;2;13;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
13;88;114;67;34;63;68;61;211;11;38;26;47;73;32;35;12;18;26;74;27;43;29;11;7;3;21;6;4;6;9;14;9;6;4;2;3;5;5;11;26;8;8;2;2;0;4;4;1;0;2;2;1;3;2;3;3;3;1;2;2;4;1;2;1;13;4;4;4;1;3;1,2,0,2,damp_low_band,0.0,False,False
13;88;116;245;39;52;63;46;211;11;38;22;50;123;38;31;16;13;19;121;26;38;30;15;7;3;32;10;3;3;10;5;10;13;3;6;3;6;3;5;28;4;9;4;5;4;3;0;1;0;2;3;2;3;2;4;2;3;1;2;2;4;2;2;2;13;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
13;88;14;163;43;60;57;56;211;11;23;26;20;102;17;11;33;33;49;103;7;46;11;16;7;3;27;4;5;4;7;10;7;9;6;4;6;3;2;9;28;7;3;6;5;1;5;2;1;0;2;3;2;3;2;3;2;3;1;2;2;4;2;2;2;13;3;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
13;88;152;232;36;51;67;47;211;11;33;17;60;119;41;19;27;11;10;116;19;32;26;22;7;3;27;4;2;4;7;9;7;10;2;6;5;7;2;9;28;7;8;6;5;1;5;2;1;0;3;3;2;3;3;5;1;2;1;2;2;4;3;1;2;14;4;4;3;1;0;1,2,0,2,damp_low_band,0.0,False,False
13;88;153;81;32;61;71;59;211;11;34;31;58;76;19;34;12;30;15;77;22;51;22;6;7;3;29;5;3;6;7;8;8;11;3;2;3;4;2;8;28;6;5;1;5;1;4;1;1;0;3;2;1;3;4;4;2;1;1;2;2;4;1;0;1;14;3;3;3;1;1;3,2,0,2,damp_low_band,0.0,False,False
13;88;17;180;44;58;57;54;211;11;24;28;21;106;14;15;28;36;47;108;9;49;12;12;7;3;23;4;5;4;8;12;8;7;5;5;6;3;4;11;27;8;2;4;3;0;5;3;1;0;2;4;2;3;2;4;1;3;1;2;2;4;3;2;2;13;3;4;3;1;1;0,2,0,2,damp_low_band,0.0,False,False
13;88;194;161;32;55;72;51;211;11;23;24;71;98;20;9;35;31;2;96;6;43;12;18;7;3;22;16;2;5;16;11;15;8;1;4;6;4;9;8;24;4;3;6;0;3;1;4;1;0;2;3;2;2;2;3;3;3;1;2;2;4;1;2;1;13;3;4;3;0;3;1,2,0,2,damp_low_band,0.0,False,False
13;88;22;118;41;62;58;60;211;11;25;18;22;89;31;8;37;21;48;91;9;36;16;23;7;3;32;11;5;5;11;5;11;13;6;3;7;5;4;5;28;4;5;8;5;4;2;0;1;0;3;2;1;3;3;3;3;2;1;2;2;4;1;1;0;13;3;4;3;1;2;2,2,0,2,damp_low_band,0.0,False,False
13;88;31;102;42;63;60;60;211;11;28;18;24;84;36;10;35;16;46;87;12;33;20;24;7;3;30;15;5;5;14;6;13;13;5;3;6;6;6;4;27;3;6;8;3;5;1;1;1;0;3;2;1;3;4;4;2;1;1;2;2;4;2;0;1;14;3;4;3;1;0;2,2,0,2,damp_low_band,0.0,False,False
