beta,config_idx,W11_mean_diff_vs_v0,W11_var_diff_vs_v0,W12_mean_diff_vs_v0,W12_var_diff_vs_v0,W13_mean_diff_vs_v0,W13_var_diff_vs_v0,W22_mean_diff_vs_v0,W22_var_diff_vs_v0,max_abs_residual
2.8,19,4.833911049218e-13,-3.229916334391e-13,3.252953462152e-13,-2.844946500602e-13,-3.541889004310e-13,-1.409983241274e-13,4.151401444830e-13,3.726186026398e-13,4.833911049218e-13
2.8,20,4.557465516086e-13,-1.333794186209e-13,3.581024365928e-13,2.068623050633e-13,2.203515148125e-13,8.315570454442e-14,1.471045507628e-13,-2.418343303390e-13,4.557465516086e-13
2.8,21,3.788080960021e-13,-9.228728892197e-14,-1.059152765492e-13,2.566280521421e-13,-2.809141808058e-13,4.027334021828e-14,3.641531520771e-13,-2.782218899711e-13,3.788080960021e-13
2.8,22,1.129096816044e-13,1.380562331121e-13,2.374767049673e-13,2.918221220227e-13,-1.265654248073e-14,4.240496842556e-13,2.919886554764e-13,-4.836131495267e-13,4.836131495267e-13
2.8,23,-3.520517211086e-13,1.016686734800e-13,3.547162563677e-13,4.394817842979e-13,-3.049782648645e-13,-4.979905376956e-13,-2.701172618913e-13,-1.781352843011e-13,4.979905376956e-13
2.8,24,-3.667066650337e-13,-4.587302759873e-13,1.834643548193e-13,-1.364464097264e-13,-1.334488075599e-13,-3.810840532026e-13,-2.216282712908e-13,3.977373985720e-14,4.587302759873e-13
2.8,25,-2.927658115937e-13,-1.623146062002e-13,2.551292510589e-13,-3.444466933900e-14,-4.087841176670e-13,1.726119247536e-13,-3.266831249960e-14,-3.035904860837e-13,4.087841176670e-13
2.8,26,-4.939382236557e-13,1.220273881941e-13,-2.285949207703e-13,2.253475184233e-13,3.753941602014e-13,-3.649858193455e-13,-4.931055563873e-13,9.520162436161e-14,4.939382236557e-13
2.8,27,-2.176037128265e-13,-3.399225345646e-13,-3.765876499529e-13,1.135480598435e-13,1.578182029505e-13,3.373135104567e-13,-2.040589919261e-13,-4.415912080447e-14,3.765876499529e-13
2.8,28,2.309263891220e-13,1.010719286043e-13,-1.572630914382e-13,-2.093325512931e-13,-4.997113833838e-13,1.599276266973e-13,-2.661482145783e-13,1.426359030887e-13,4.997113833838e-13
2.8,29,-3.450573160535e-13,1.615652056586e-13,-4.835021272243e-14,3.128608483394e-13,4.652389584692e-13,8.029688025601e-14,-2.300937218536e-13,-3.902711487314e-13,4.652389584692e-13
2.8,30,-1.010302952409e-13,1.298683383055e-13,-2.012279232133e-13,3.750888488696e-13,1.600941601509e-13,-4.513056595101e-14,9.103828801926e-15,-3.106681578657e-13,3.750888488696e-13
2.8,31,2.917666108715e-13,-4.141409437608e-13,-1.051936315832e-13,-3.874955911698e-13,4.713729406802e-13,-2.648159469487e-13,2.086941730539e-13,2.772782004001e-13,4.713729406802e-13
